id,Nodes,Richness,Abundance,H,Eh,Normalized_node_score
1,park P1,3.17,10.83,0.81,0.66,0.398142217
2,park P2,4.50,9.83,1.29,0.86,0.427290199
3,park P3,3.33,7.00,0.97,0.74,0.589365791
4,park P4,2.50,5.17,0.78,0.82,0.961563101
5,park P5,2.33,4.50,0.67,0.83,0.901345291
6,park P6,5.33,18.00,1.40,0.85,0.557655349
7,park P7,5.00,25.17,1.19,0.78,0.867713004
8,park P8,3.50,8.50,1.01,0.82,0.844971172
9,park P9,2.83,5.33,0.93,0.93,0.81582319
10,park P10,1.83,3.00,0.60,0.77,0.866752082
11,park P11,3.33,7.50,1.04,0.91,0
12,L1 P1,0.67,1.00,0.11,0.15,0.821909033
13,L1 P2,1.50,3.33,0.21,0.30,0.793721973
14,L1 P3,1.17,1.50,0.29,0.32,0.911595131
15,L1 P4,3.17,5.67,1.07,0.95,0.696348495
16,L1 P5,1.17,1.50,0.32,0.47,0.745675849
17,L1 P6,0.83,1.17,0.12,0.17,0.882447149
18,L1 P7,0.00,0.00,0.00,0.00,0.961242793
19,L1 P8,0.67,1.00,0.12,0.17,0.439782191
20,L1 P9,0.50,0.50,0.18,0.17,0.994554773
21,L1 P10,0.00,0.00,0.00,0.00,0.996796925
22,L1 P11,0.00,0.00,0.00,0.00,0.992632928
23,L1 P12,2.17,10.67,0.67,0.89,0.797245356
24,L1 P13,1.50,3.17,0.38,0.46,0.985265855
25,L1 P14,2.67,3.67,0.90,0.94,0.155028828
26,L1 P15,3.00,6.00,0.91,0.74,0.989429853
27,L1 P16,0.83,1.50,0.11,0.16,0.987828315
28,L1 P17,0.67,0.67,0.00,0.00,0.962524023
29,L1 P18,1.50,2.17,0.35,0.50,0.827994875
30,L1 P19,0.50,0.83,0.00,0.00,0.874759769
31,L1 P20,1.67,2.33,0.50,0.47,0.796284433
32,L1 P21,2.83,5.00,0.76,0.60,1
33,L3 P1,1.17,1.67,0.12,0.17,0.960922486
34,L3 P2,1.17,1.83,0.20,0.29,0.960922486
35,L4 P1,1.50,2.83,0.39,0.47,0.585201794
36,L4 P2,1.67,2.83,0.37,0.45,0.917680974
37,L4 P3,0.50,0.67,0.00,0.00,0.896540679
38,L4 P4,1.00,1.17,0.12,0.17,0.834080717
39,L4 P5,2.83,7.50,0.81,0.83,0.225816784
40,L5 P1,2.33,6.67,0.55,0.52,0.835682255
41,L5 P2,2.33,6.67,0.60,0.58,0.86579116
42,L5 P3,1.17,5.17,0.15,0.22,0.878603459
43,L5 P4,1.17,3.17,0.09,0.14,0.878603459
44,L5 P5,1.83,4.83,0.38,0.47,0.845611787
45,L5 P6,0.00,0.00,0.00,0.00,1
46,L5 P7,0.00,0.00,0.00,0.00,0.878603459
47,L6 P1,0.50,1.33,0.00,0.00,0.983984625
48,L6 P2,1.67,7.67,0.55,0.63,0.825752723
49,L6 P3,1.67,4.67,0.38,0.27,0.950032031
50,L6 P4,0.67,1.33,0.08,0.12,0.973734785
51,L6 P5,2.00,4.83,0.64,0.64,0.806534273
52,L6 P6,1.83,3.50,0.41,0.43,0.888532992
53,L7 P1,2.17,9.67,0.62,0.68,0.911274824
54,L7 P2,1.00,4.50,0.16,0.19,0.978859705
55,L7 P3,1.33,6.00,0.27,0.39,0.862908392
56,L7 P4,2.17,4.00,0.52,0.55,0.762011531
57,L7 P5,1.50,11.17,0.29,0.32,0.458039718
58,L7 P6,1.33,6.00,0.23,0.25,0.964445868
59,L7 P7,0.50,1.17,0.12,0.17,0.944586803
60,L7 P8,2.00,18.83,0.41,0.37,0.921524664
61,L7 P9,1.33,10.83,0.20,0.28,0.880525304